Parameter,Value,Unit,Source,Status,Notes
Bearing model,LDK UER204,,XJTU-SY author landing page,published,Primary physical component identity
Lifecycle count,15,bearings,XJTU-SY author landing page,published,Five bearings under each of three operating conditions
Condition 1 speed,2100,rpm,XJTU-SY author landing page,published,Condition 1
Condition 1 load,12,kN,XJTU-SY author landing page,published,Condition 1
Condition 2 speed,2250,rpm,XJTU-SY author landing page,published,Condition 2
Condition 2 load,11,kN,XJTU-SY author landing page,published,Condition 2
Condition 3 speed,2400,rpm,XJTU-SY author landing page,published,Condition 3
Condition 3 load,10,kN,XJTU-SY author landing page,published,Condition 3
Sampling rate,25600,Hz,XJTU-SY author landing page,published,Horizontal and vertical acceleration
Snapshot duration,1.28,s,XJTU-SY author landing page,published,Each recorded vibration snapshot
Snapshot period,60,s,XJTU-SY author landing page,published,Do not treat gaps as continuous vibration
Failure label,unverified,,project audit,unverified,Must be transcribed per lifecycle after raw documentation audit
Bearing geometry,not yet transcribed,,XJTU-SY author geometry table,unverified,Week 1 data gate
Housing transfer path,not yet identified,,project identification,assumed,Fit or bound using training records only
