BearingID,ConditionID,SpeedRPM,LoadKN,SampleRateHz,SnapshotSeconds,SnapshotPeriodSeconds,ChannelCount,FileCount,LifetimeMinutes,FaultElement,FailureLabel,Split,RawRelativePath
Bearing1_1,1,2100,12,25600,1.28,60,2,123,123,outer race,outer race,train,35Hz12kN/Bearing1_1
Bearing1_2,1,2100,12,25600,1.28,60,2,161,161,outer race,outer race,train,35Hz12kN/Bearing1_2
Bearing1_3,1,2100,12,25600,1.28,60,2,158,158,outer race,outer race,validation,35Hz12kN/Bearing1_3
Bearing1_4,1,2100,12,25600,1.28,60,2,122,122,cage,cage,test,35Hz12kN/Bearing1_4
Bearing1_5,1,2100,12,25600,1.28,60,2,52,52,inner race and outer race,inner and outer race,train,35Hz12kN/Bearing1_5
Bearing2_1,2,2250,11,25600,1.28,60,2,491,491,inner race,inner race,train,37.5Hz11kN/Bearing2_1
Bearing2_2,2,2250,11,25600,1.28,60,2,161,161,outer race,outer race,train,37.5Hz11kN/Bearing2_2
Bearing2_3,2,2250,11,25600,1.28,60,2,533,533,cage,cage,validation,37.5Hz11kN/Bearing2_3
Bearing2_4,2,2250,11,25600,1.28,60,2,42,42,outer race,outer race,test,37.5Hz11kN/Bearing2_4
Bearing2_5,2,2250,11,25600,1.28,60,2,339,339,outer race,outer race,train,37.5Hz11kN/Bearing2_5
Bearing3_1,3,2400,10,25600,1.28,60,2,2538,2538,outer race,outer race,train,40Hz10kN/Bearing3_1
Bearing3_2,3,2400,10,25600,1.28,60,2,2496,2496,"inner race, ball, cage and outer race",multi-element,train,40Hz10kN/Bearing3_2
Bearing3_3,3,2400,10,25600,1.28,60,2,371,371,inner race,inner race,validation,40Hz10kN/Bearing3_3
Bearing3_4,3,2400,10,25600,1.28,60,2,1515,1515,inner race,inner race,test,40Hz10kN/Bearing3_4
Bearing3_5,3,2400,10,25600,1.28,60,2,114,114,outer race,outer race,train,40Hz10kN/Bearing3_5
